away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points_1h,away_points_2h,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points_1h,home_points_2h,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
47.8,11,3.4,2,141.6,62.1,18,0.426,68,0.338,23,0.132,9,0.667,6,0,200,71.9,16.3,7,18,35,29,64,,6.7,6,0.574,39,0.308,12,34.7,25,0.443,24.2,23,29,0.379,11,0.0,0,"December 18, 2019",54.9,28,13.8,4,71.9,83.7,36,0.712,78,0.654,51,0.295,23,0.652,15,0,200,141.6,37.9,11,10,72,54,126,,21.3,19,0.244,19,0.474,9,65.3,47,0.708,11.1,11,59,0.712,42,0.0,0,"Kress Events Center, Green Bay, Wisconsin","Concordia (IL)
			","Concordia (IL)
			",88.6,Home,GREEN-BAY,Green Bay
34.5,10,3.6,1,121.1,75.0,15,0.525,61,0.475,29,0.328,20,0.8,16,11,200,105.3,13.8,4,17,39,41,80,,14.5,11,0.295,18,0.333,6,38.8,19,0.567,14.7,12,43,0.535,23,0.083,1,"December 18, 2019",68.8,22,7.0,3,105.3,86.2,25,0.685,54,0.593,32,0.407,22,0.818,18,11,200,121.1,25.0,5,13,48,44,92,,6.6,5,0.481,26,0.385,10,61.2,30,0.714,19.1,15,28,0.786,22,0.083,1,"Pete Mathews Coliseum, Jacksonville, Alabama",DELAWARE-STATE,Delaware State,76.5,Home,JACKSONVILLE-STATE,Jacksonville State
59.1,13,12.2,5,79.3,64.5,20,0.522,45,0.489,22,0.778,35,0.743,26,1,200,89.0,22.7,5,21,35,38,73,,13.4,11,0.311,14,0.214,3,47.2,25,0.592,29.3,25,31,0.613,19,0.917,11,"December 18, 2019",41.7,10,6.5,2,89.0,77.3,17,0.491,53,0.453,24,0.434,23,0.565,13,1,200,79.3,35.5,11,24,21,44,65,,18.3,15,0.226,12,0.333,4,52.8,28,0.508,31.5,29,41,0.488,20,0.917,11,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,81.8,Away,DEPAUL,DePaul
45.2,14,6.5,2,96.9,83.3,20,0.515,68,0.456,31,0.132,9,0.444,4,2,200,113.8,48.7,19,10,38,36,74,,7.7,5,0.382,26,0.308,8,61.9,39,0.512,10.0,8,42,0.548,23,0.833,10,"December 18, 2019",56.0,14,14.3,6,113.8,51.3,20,0.538,53,0.472,25,0.151,8,0.75,6,2,200,96.9,16.7,4,15,29,34,63,,7.7,5,0.415,22,0.318,7,38.1,24,0.555,21.0,15,31,0.581,18,0.833,10,"Maravich Assembly Center, Baton Rouge, Louisiana",LOUISIANA-STATE,LSU,64.5,Away,EAST-TENNESSEE-STATE,ETSU
50.0,11,14.7,5,119.0,57.1,16,0.464,56,0.393,22,0.143,8,0.5,4,11,200,88.9,30.6,11,19,26,30,56,,11.1,7,0.464,26,0.308,8,42.2,27,0.468,17.9,13,30,0.467,14,0.154,2,"December 18, 2019",63.0,17,3.3,1,88.9,69.4,25,0.564,55,0.491,27,0.291,16,0.813,13,11,200,119.0,42.9,12,7,42,33,75,,9.5,6,0.382,21,0.381,8,57.8,37,0.599,18.4,14,34,0.559,19,0.154,2,"Frost Arena, Brookings, South Dakota",FLORIDA-GULF-COAST,Florida Gulf Coast,63.2,Home,SOUTH-DAKOTA-STATE,South Dakota State
26.3,5,6.5,2,115.4,64.3,18,0.417,48,0.396,19,0.479,23,0.565,13,7,200,81.5,29.4,10,13,28,25,53,,3.1,2,0.229,11,0.182,2,45.2,28,0.45,21.6,16,37,0.459,17,0.364,4,"December 18, 2019",70.4,19,0.0,0,81.5,70.6,24,0.555,55,0.491,27,0.309,17,0.824,14,7,200,115.4,35.7,10,20,34,41,75,,10.8,7,0.436,24,0.292,7,54.8,34,0.595,15.0,11,31,0.645,20,0.364,4,"The SIU Arena, Carbondale, Illinois",HAMPTON,Hampton,64.5,Home,SOUTHERN-ILLINOIS,Southern Illinois
61.9,13,6.1,3,114.3,58.8,20,0.405,63,0.333,21,0.317,20,0.85,17,9,200,81.0,20.0,8,28,26,42,68,,8.3,7,0.317,20,0.45,9,37.8,28,0.469,22.6,21,43,0.279,12,0.0,0,"December 18, 2019",62.5,20,20.9,9,81.0,80.0,32,0.531,65,0.492,32,0.538,35,0.771,27,9,200,114.3,41.2,14,20,48,48,96,,10.7,9,0.246,16,0.313,5,62.2,46,0.588,14.8,14,49,0.551,27,0.0,0,"William Johnson Coliseum, Nacogdoches, Texas",HOUSTON-BAPTIST,Houston Baptist,83.6,Home,STEPHEN-F-AUSTIN,Stephen F. Austin
28.0,7,5.3,2,93.1,75.0,24,0.5,59,0.424,25,0.203,12,0.583,7,8,200,91.7,25.8,8,22,28,38,66,,11.1,8,0.441,26,0.346,9,50.8,32,0.51,18.9,15,33,0.485,16,0.333,4,"December 18, 2019",50.0,12,6.1,2,91.7,74.2,23,0.472,53,0.453,24,0.453,24,0.708,17,8,200,93.1,25.0,8,9,30,37,67,,9.7,7,0.283,15,0.133,2,49.2,31,0.52,19.1,15,38,0.579,22,0.333,4,"Redbird Arena, Normal, Illinois",ILLINOIS-CHICAGO,UIC,71.6,Home,ILLINOIS-STATE,Illinois State
53.3,16,4.9,2,103.5,67.7,21,0.453,75,0.4,30,0.267,20,0.7,14,8,225,96.5,20.5,9,24,41,31,82,,14.1,12,0.387,29,0.276,8,40.0,30,0.485,9.7,9,46,0.478,22,0.273,3,"December 18, 2019",56.7,17,13.0,6,96.5,79.5,35,0.524,63,0.476,30,0.444,28,0.786,22,8,225,103.5,32.3,10,14,33,39,88,,3.5,3,0.349,22,0.273,6,60.0,45,0.577,21.0,20,41,0.585,24,0.273,3,"Jeff Farris Center, Conway, Arkansas",INCARNATE-WORD,Incarnate Word,75.9,Home,CENTRAL-ARKANSAS,Central Arkansas
40.0,12,4.0,1,87.9,80.8,21,0.598,61,0.492,30,0.18,11,0.727,8,6,200,122.7,38.5,10,15,43,38,81,,9.1,6,0.508,31,0.419,13,59.6,31,0.612,13.2,10,30,0.567,17,0.538,7,"December 18, 2019",30.0,6,6.7,2,122.7,61.5,16,0.489,46,0.435,20,0.348,16,0.813,13,6,200,87.9,19.2,5,15,33,25,58,,6.1,4,0.457,21,0.238,5,40.4,21,0.541,25.3,18,25,0.6,15,0.538,7,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,66.4,Away,JACKSONVILLE,Jacksonville
